TF TG type
10002 1025 TF-TG
10002 10514 TF-TG
10002 10607 TF-TG
10002 2099 TF-TF
10002 22907 TF-TG
10002 25942 TF-TG
10002 3065 TF-TG
10002 5469 TF-TG
10002 5928 TF-TG
10002 5931 TF-TG
10002 5933 TF-TG
10002 6010 TF-TG
10002 8841 TF-TG
10002 9611 TF-TG
10009 1500 TF-TG
10009 57599 TF-TG
10009 8841 TF-TG
10009 9611 TF-TG
10014 3481 TF-TG
10014 4205 TF-TF
10014 6513 TF-TG
10014 7528 TF-TF
10062 1071 TF-TG
10062 19 TF-TG
10062 23411 TF-TG
10062 348 TF-TG
10062 5360 TF-TG
10062 5465 TF-TG
10062 5469 TF-TG
10062 580 TF-TG
10062 6256 TF-TG
10062 64137 TF-TG
10062 6720 TF-TF
10062 7314 TF-TG
10062 8431 TF-TG
10062 8553 TF-TG
10062 8721 TF-TG
10062 9619 TF-TG
10113 51128 TF-TG
10113 51128 TF-TG
10113 5617 TF-TG
10113 56681 TF-TG
10113 6347 TF-TG
10127 1856 TF-TG
10127 29922 TF-TG
10127 30008 TF-TG
10127 51282 TF-TG
10127 51324 TF-TG
10127 51684 TF-TG
10127 79666 TF-TG
10127 90933 TF-TG
10153 1278 TF-TG
10153 3002 TF-TG
10153 324 TF-TF
10153 4801 TF-TG
10153 6662 TF-TF
10168 10155 TF-TG
10168 27185 TF-TG
10168 3091 TF-TG
10168 7428 TF-TG
10168 81565 TF-TG
10194 322 TF-TG
10320 10014 TF-TG
10320 1173 TF-TG
10320 1487 TF-TG
10320 2264 TF-TG
10320 22807 TF-TG
10320 23309 TF-TG
10320 25942 TF-TG
10320 3065 TF-TG
10320 3066 TF-TG
10320 5932 TF-TG
10320 64375 TF-TG
10320 64376 TF-TG
10320 7329 TF-TG
10320 8841 TF-TG
10320 9612 TF-TG
10320 9759 TF-TG
10365 1026 TF-TG
10365 11059 TF-TG
10365 1234 TF-TG
10365 1236 TF-TG
10365 140628 TF-TG
10365 2627 TF-TG
10365 3558 TF-TG
10365 4846 TF-TG
10365 6402 TF-TG
10365 7056 TF-TG
10379 1026 TF-TG
10379 1027 TF-TG
10379 10379 TF-TG
10379 1822 TF-TG
10379 3437 TF-TG
10379 3455 TF-TG
10379 4684 TF-TG
10379 4790 TF-TG
10379 5371 TF-TF
10379 5970 TF-TG
10379 6310 TF-TG
10379 6672 TF-TF
10379 6772 TF-TG
10379 6773 TF-TG
10379 6774 TF-TG
