	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Sample 19	Sample 20	Sample 21	Sample 22	Sample 23	Sample 24	Sample 25	Sample 26	Sample 27	Sample 28	Sample 29	Sample 30	Sample 31	Sample 32	Sample 33
10	3.416839742	4.255500733	3.7322692	1.646162657	2.469885976	3.211012193	2.618238656	2.353323291	1.207892852	2.750606505	1.443606651	4.074676686	4.308156975	1.691534165	2.841973119	2.691534165	3.868884273	3.62058641	2.397802962	4.211012193	3.810443104	3.319039816	3.521050737	2.510961919	3.17951105	3.443606651	2.722466024	4.569855608	3.705977902	2.23572706	2.9800253	2.121015401	2.813524689
100	6.375387027	6.536674618	12.14539724	9.038946417	7.0475602	5.831370588	6.977623381	7.039796408	7.223712141	6.904724928	5.654206378	6.653060017	6.13873257	7.227952814	6.050066298	7.658425728	9.054414388	7.132371199	7.265286858	7.529196268	7.791748966	7.026468113	5.621172753	7.477596384	7.56924803	7.227567813	7.383531504	8.069154351	7.595145568	6.579693063	7.625854931	6.43162296	7.951692692
1000	11.17589256	11.2305729	9.384006622	5.120186028	11.2418104	5.354381632	5.677226328	9.714966685	5.755154643	12.21903235	5.62935662	5.451540833	5.617651119	8.597531174	6.225737653	8.899749645	5.717539343	6.168521699	5.946964741	9.309999222	6.05202456	9.84757418	8.834945023	11.14119391	10.52561868	9.259366655	8.724582064	8.630995115	9.766843584	9.506029827	5.591559746	5.372603915	10.42009707
10000	5.684257705	6.002927502	6.076601849	3.6622055	3.204766751	3.516015147	1.757023247	6.198690586	6.74092756	7.208380694	3.554588852	3.234194723	2.59454855	6.183089461	6.269781238	4.711494907	4.61176256	4.933100475	2.304511042	2.731183242	5.566206293	6.492814573	5.139551352	6.575766127	5.641835002	6.29553937	5.603477988	6.749534268	6.227086417	6.26171885	3.155425432	2.865918815	5.581953751
100008588	5.029011087	5.421223299	5.863442934	3.861955364	5.656782364	4.510961919	4.780310099	4.20867332	3.87282876	4.247927513	6.389222616	3.739848103	5.244506551	5.062208078	4.641546029	4.37920506	3.947666157	5.375734539	4.272023189	6.237640195	5.081936082	5.410069692	4.73714592	5.088311236	4.248686627	3.925049965	4.462706751	6.397802962	9.551131453	3.049630768	5.488000771	3.528571319	5.500164679
10001	6.211985606	5.645009884	6.524815928	5.762880293	5.814806743	5.816343705	5.915281866	5.913846824	5.897482468	4.621758857	5.339137385	5.616475329	5.977737849	5.351557662	5.635754391	5.773996325	6.223808659	6.481395824	5.906409617	5.796753477	5.324090516	6.216648867	6.208283138	5.682854169	5.165510018	5.497931652	5.816343705	5.785812075	5.590063019	5.363871925	6.082787732	6.259272487	4.740387932
10002	7.329033874	6.638073837	7.528883827	6.85224859	7.188044796	7.360539862	6.902676587	6.484943701	7.132885254	6.957682486	6.956172844	7.080231272	6.961507575	7.024585638	7.368855634	7.390254956	7.58165253	7.183883459	6.994466585	7.509537504	7.038260575	7.480426705	6.939931765	7.373909167	7.677296812	6.342874708	6.957798547	6.979225105	7.855802872	7.04908617	7.165007459	7.071247819	7.259837401
10003	1.835924074	2.347665656	0.163498732	1.545968369	2.622930351	2.604071324	1.627606838	2.440952198	2.053111336	3.087462841	-0.434402824	1.891419187	1.03562391	-0.49410907	2.596935142	0.895302621	0.910732662	4.067810784	2.277984747	1.883620816	2.077242999	2.147306699	3.023255352	1.709290636	1.794935663	2.3305584	1.182692298	3.129283017	2.392317423	2.324810603	2.344828497	3.850999395	1.895302621
10004	4.312519967	3.804260116	3.559491813	4.191404729	3.708187236	3.866907978	3.794935663	3.858975614	3.422233001	3.462052319	3.830863757	4.198494154	3.902073579	3.722466024	3.806324057	3.464668267	3.347665656	4.137503524	3.685940148	3.860962798	4.298658316	3.765534746	3.710393192	3.833902077	3.488000771	3.806324057	3.632268215	4.256255873	4.7382274	3.635754391	4.469234794	3.528571319	3.94016675
10005	6.926118056	6.830610274	7.537373729	6.759555343	6.183883459	6.142209191	6.395748328	6.524815928	6.90303827	6.788816194	7.074141463	7.083319758	6.798439399	7.032321287	6.641546029	7.377557603	7.230260665	6.912051013	5.805292456	7.298566678	5.704871964	6.894696523	7.330199833	6.169123281	6.524345816	6.795065583	6.985272714	5.976821852	6.929317595	6.747253114	6.963820884	7.432374864	6.46515823
