	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17
10	2.98550043	2.767654798	3.329123596	1.799087306	3.519793486	3.158660175	1.925999419	4.047887329	2.992768431	3.053111336	3.75595577	2.906890596	2.925999419	4.352617299	3.220329955	3.766595162	3.379898164
100	8.458980706	7.740387932	8.038754414	8.222698318	9.006690739	7.896029603	7.077242999	6.193377511	12.51061089	6.530445355	8.570804438	6.986638472	7.973037206	6.797012978	7.587440004	8.695959025	7.099400415
1000	10.57234022	8.641979466	10.12470293	10.42322098	5.849498932	8.522699217	6.038041037	6.242602506	9.23354778	8.824354177	7.822921305	8.230981112	6.247357916	6.113117036	6.8008999	7.781949786	11.01583316
10000	6.622491152	6.022589749	6.247927513	6.615592857	3.883620816	6.565749479	6.327866971	2.599317794	5.761817143	4.876762491	5.637494325	6.98436149	3.667892125	3.080657663	6.231317197	5.136683578	5.893604905
100008588	6.074676686	7.550823727	4.35473424	5.025471815	2.831877241	4.321206567	5.405652061	5.167518504	4.643278996	5.287250643	6.131342539	4.251719093	5.597531174	4.652486495	6.21800615	5.773468928	5.499527024
10001	4.756489607	6.235918488	5.177120503	5.235344128	6.243173983	6.001126665	5.681449265	5.997744026	6.019701914	5.697106574	5.130107179	5.458775699	5.217230716	6.148730779	5.3323499	5.630230716	4.93593114
10002	6.599912842	6.364572432	6.66106548	7.226893814	7.37842492	7.05039286	6.841469999	7.834344631	7.690067834	6.613678979	7.692929286	7.240791332	7.950934928	7.42063398	7.406162479	7.723148957	6.72410452
10003	1.111031312	2.378511623	1.790772038	2.438292852	1.124328135	1.495695163	2.327687364	1.50589093	2.117695043	3.303050085	3.229587923	2	3.010779839	1.469885976	2.307428525	3.49057013	3.340562269
10004	4.032100843	4.062639828	4.159467729	4.621172753	3.426264755	4.012568674	3.84899843	3.802193217	3.575312331	3.798050515	4.156234798	3.625270489	4.080657663	3.720278465	4.311067102	5.231125158	3.846994687
10005	5.836176625	5.903520374	6.08491466	6.524345816	6.723831566	6.271836493	6.787118983	6.04220656	6.58044702	6.284292026	7.43987243	6.873813198	7.018700931	6.031880366	7.491532462	7.612352499	6.176721693
10006	7.239264368	7.437544026	6.50255338	7.362382216	7.532862387	8.18730258	6.948133578	7.843104497	8.259319572	6.719046504	7.278914019	6.670727054	6.487196907	7.963820884	6.665335917	6.338780944	7.329392731
10007	8.714279867	8.524659241	9.202980858	8.887860317	8.992088609	8.926118056	9.392446229	8.567119488	8.996897126	8.951546999	9.243554843	8.418485137	9.932893855	7.641401521	9.023809787	9.324900589	9.314175358
10009	4.61999983	3.945794957	2.693765712	3.214124805	4.061776198	4.199279721	4.957450336	3.657640005	3.659924558	4.356848079	3.659924558	3.930737338	4.957450336	3.331991778	4.077242999	3.962549023	4.37920506
1001	4.805292456	3.943921327	4.3305584	4.762880293	7.883193125	3.987320866	6.595891494	7.000901403	3.117695043	4.229587923	7.66860138	3.621758857	4.503348735	4.701549057	7.056041549	4.628190335	4.844486088
10010	5.376776572	5.545041683	5.212958363	5.164303583	5.495375381	5.189824559	5.170726276	4.69432306	4.703211467	5.243745235	4.661635602	5.382667253	4.100136671	5.015693807	4.450221496	4.772413555	5.070389328
100101629	7.263879487	6.667040559	6.934870291	6.700439718	6.606294161	6.525285887	6.816983623	6.331633567	6.603032826	6.556735948	6.545041683	6.122051448	9.295011235	6.685940148	6.809928866	7.140165135	6.905928478
