PDGF_RECEPTOR_SIGNALING_NETWORK|5159	5154	56034	5156	5155	80310
S1P5_PATHWAY|2771	2781	2773	2770	53637	387	2768	2775	2775
WNT_SIGNALING_NETWORK|22943	89780	8326	7472	7476	3487	7471	8321	8325	79412	4040	83999	2535	4041	8323	284654	7477	8322	115908	7474	6259	7855	10159	4920	7473	11211	11197	8324
IL8-MEDIATED_SIGNALING_EVENTS|3576
LPA4-MEDIATED_SIGNALING_EVENTS|2846	5566	107	9252	109	5581	114	196883	1385	113	2774	108	112	115	111
CASPASE_CASCADE_IN_APOPTOSIS|637	3875	58	7186	7150	1677	8743	842	330	8737	6304	5551	2620	843	7132	2934	7431	356	835	8797	8738	3002	84823	4926	4001	6720	3984	836	1676	581	142	1486086	55367	207	841	839	1073	8772	598	317	397	54205	4214	5747	6709	7124	331	596	4000	351	8717	9748	7020	56616	840	8795	8567	355
OSTEOPONTIN-MEDIATED_EVENTS|10451	6850	5328	5599	3690	4318	9475	5595	5970	2185	1147	4313	3685	5295	6696	9564	960	4214	4790	2353	998	9020	5594	3725	4792	387	5879	2934	8394	5290	3611
REGULATION_OF_NUCLEAR_BETA_CATENIN_SIGNALING_AND_TARGET_GENE_TRANSCRIPTION|22943	367	7088	7529	4656	7534	57167	6862	7015	170261	10642	2249	3491	1857	9314	7514	999	1487	4762	113	4318	4609	4513	1044	324	2033	166	83439	10971	6934	8454	79718	7533	8313	8913	6934	6925	6597	3619	10856	9968	6907	4286	57680	27121	3398	1499	607	1046	2810	23043	6932	894	56998	7531	7089	23145	51176	814	389058	25776	7091	7532	5308	3066	1029	4313	6932	1462	6591	29969	3065	80333	595	6500	4617	3576	26959	3725	8295	10499	3848
STABILIZATION_AND_EXPANSION_OF_THE_E-CADHERIN_ADHERENS_JUNCTION|51474	4690	4248	3480	26999	362	7414	10787	87	3801	382	4026	11336	1499	360	28964	1950	1500	3082	1729	7791	10006	1956	7408	6093	60412	4646	55740	5819	387	4633	144100	999	1969	1942	3479	4233	6810	57662	4301	1495	23396
AURORA_C_SIGNALING|9212	3619	3021	6795
BETA2_INTEGRIN_CELL_SURFACE_INTERACTIONS|7045	2159	2266	2243	2212	3683	3385	10417	3827	83700	959	2811	718	7412	3681	3383	5328	3684	3689	5327	3687	5329	3386	3384	3491	50848	2244	5624	7070
